,cod_loja,faturamento,jan,fev,mar
0,10,146408.23,132833.94,132833.94,173556.81
1,13,102966.195,97110.01,97110.01,114678.58
2,16,69447.4,62830.508,62830.508,82681.17
3,21,78743.07,70673.98,70673.98,94881.27
4,28,135722.34,127198.055,127198.055,152770.92
5,41,163306.23,152265.98,152265.98,185386.73
6,55,74119.09,67991.11,67991.11,86375.07
7,64,142656.44,135276.44,135276.44,157416.44
8,73,179505.3,162712.81,162712.81,213090.22
9,75,144877.73,137847.9,137847.9,158937.4
10,82,116774.27,109341.71,109341.71,131639.39
11,84,130216.65,119273.88,119273.88,152102.19
12,87,94086.91,85559.1,85559.1,111142.51
13,99,66933.36,60974.945,60974.945,78850.19
14,103,121351.305,113316.38,113316.38,137421.14
15,106,85715.375,75337.21,75337.21,106471.7
16,117,78401.43,79613.44,79613.44,75977.4
17,119,81286.06,76853.17,76853.17,90151.836
18,127,70501.055,63578.605,63578.605,84345.95
19,129,123612.69,114733.93,114733.93,141370.22
20,132,163495.38,151337.42,151337.42,187811.27
21,178,255741.39,246882.12,246882.12,273459.94
22,200,90519.664,89487.74,89487.74,92583.51
23,201,80799.49,75688.16,75688.16,91022.164
24,202,83450.78,78061.3,78061.3,94229.75
25,203,95867.91,88039.414,88039.414,111524.88
26,206,77535.73,74559.414,74559.414,83488.34
27,213,153186.33,141044.08,141044.08,177470.81
28,215,179516.14,176942.75,176942.75,184662.95
29,220,104856.48,96941.48,96941.48,120686.47
30,232,65608.52,60976.125,60976.125,74873.32
31,234,169863.75,156127.14,156127.14,197336.95
32,235,68219.75,62276.23,62276.23,80106.78
33,240,53915.582,49227.305,49227.305,63292.15
34,241,94670.51,90251.78,90251.78,103507.96
35,242,57883.48,56815.312,56815.312,60019.805
36,254,86375.48,76187.195,76187.195,106752.04
37,255,357589.25,345818.84,345818.84,381130.0
38,261,49949.715,46693.844,46693.844,56461.45
39,262,146454.12,139068.25,139068.25,161225.88
40,272,53821.363,50160.348,50160.348,61143.406
41,278,94502.82,86748.27,86748.27,110011.93
42,285,147801.17,138896.88,138896.88,165609.75
43,300,86342.05,80987.35,80987.35,97051.44
