,cod_loja,faturamento,jan,fev,mar
0,1,499695.5,512148.97,433700.94,553236.6
1,2,50531.605,50380.74,43240.13,57973.945
2,3,135057.3,131367.84,118416.68,155387.36
3,4,49027.547,50046.133,41786.242,55250.266
4,5,158592.39,165140.17,139044.69,171592.33
5,6,190905.92,188748.83,163169.06,220799.88
6,7,79561.234,78551.34,70325.27,89807.08
7,8,105060.18,115092.58,92834.74,107253.22
8,9,258808.44,275527.94,233554.62,267342.75
9,11,29396.203,38026.938,22165.82,27995.848
10,12,50980.844,55951.02,43857.812,53133.707
11,14,78620.086,81056.43,68170.42,86633.414
12,15,104081.19,115529.836,90138.17,106575.57
13,17,89609.48,94607.85,78207.914,96012.66
14,18,42430.453,45551.977,37522.832,44216.55
15,19,112318.914,114840.164,97006.54,125110.06
16,20,136007.86,138922.31,117783.984,151317.28
17,22,115839.19,118297.26,102151.68,127068.62
18,23,194051.64,208477.31,161977.88,211699.75
19,24,114146.84,138072.8,99682.91,104684.83
20,25,123997.51,131938.22,104926.81,135127.5
21,26,147067.44,151780.7,134215.45,155206.17
22,27,36923.5,34414.715,33762.34,42593.45
23,29,148423.02,149521.3,130307.12,165440.67
24,30,86385.68,88208.84,74708.586,96239.6
25,31,73272.51,70292.305,64664.33,84860.91
26,32,201877.38,205559.8,172704.08,227368.28
27,33,212930.25,213512.58,191341.03,233937.12
28,34,185488.23,186346.84,163217.31,206900.52
29,35,150320.9,147516.02,136870.14,166576.56
30,36,57289.72,54828.88,50613.73,66426.555
31,37,170139.44,164003.03,149810.05,196605.27
32,38,106518.086,105640.58,93097.34,120816.33
33,39,139472.05,145407.94,119835.61,153172.6
34,40,123788.91,125804.35,108784.11,136778.25
35,42,203478.08,205894.9,180390.66,224148.69
36,43,63009.8,65604.195,54781.96,68643.26
37,44,210271.92,210191.05,178312.97,242311.77
38,45,106679.47,103888.484,93528.625,122621.3
39,46,177701.88,180114.56,156432.62,196558.4
40,47,98510.59,98929.77,86958.2,109643.82
41,48,163390.11,160562.22,141210.47,188397.61
42,49,68378.78,69005.59,58429.86,77700.89
43,50,72345.82,71142.25,63216.867,82678.34
44,51,116122.73,109423.2,105811.36,133133.61
45,52,114582.695,114350.13,100379.055,129018.91
46,53,114381.31,110733.516,101406.5,131003.93
47,54,120984.79,119829.164,107109.336,136015.86
48,56,120181.73,117018.62,106612.51,136914.08
49,57,128314.98,131533.19,112177.36,141234.4
50,58,133554.58,134642.16,117050.42,148971.14
51,59,123860.29,121076.56,106446.68,144057.61
52,60,168703.64,160968.31,147456.64,197685.98
53,61,63224.3,61326.645,56777.902,71568.36
54,62,140104.52,142327.44,122328.38,155657.72
55,63,82229.65,78394.62,72468.26,95826.07
56,65,109745.414,106503.945,96520.79,126211.52
